column_name,required,expected_format,db_target_or_use,notes
source_system,yes,text,staging provenance,"System/export where this row came from, e.g. DMS, CRM, auction report, manual export."
source_file_name,yes,text,staging provenance,"Original file/report name. Do not include secrets or private URLs."
source_row_id,yes,text,staging provenance,"Stable row id from the source if available. Can be stock number plus date if no true row id exists."
import_batch_label,yes,text,staging provenance,"Human-readable batch label, e.g. 2026-05-maxbuy-history-load-01."
existing_purchase_outcome_id,no,uuid,tav.purchase_outcomes.id,"Use only if the source row is already known to map to an existing outcome."
existing_import_fingerprint,no,text,tav.purchase_outcomes.import_fingerprint,"Use when matching to current imported outcomes."
vin,strongly recommended,17-char text,tav.purchase_outcomes.vin,"Keep VINs in the import file/database only. Do not paste VIN rows into reports."
stock_number,no,text,staging match key,"Use as a deterministic match key when VIN or existing outcome id is unavailable."
year,yes,YYYY,tav.purchase_outcomes.year,"Four-digit model year."
make,yes,text,tav.purchase_outcomes.make,"Normalize casing later; preserve source value here."
model,yes,text,tav.purchase_outcomes.model,"Preserve source value here; cleaning rules handle artifacts later."
trim,no,text,staging or future extension,"Important for MMR/segment quality if available."
purchase_date,yes,YYYY-MM-DD,tav.purchase_outcomes.purchase_date,"True purchase/acquisition date. Do not use import date."
sale_date,no,YYYY-MM-DD,tav.historical_sales.sale_date or audit use,"Needed for hold-period and backtest windows if available."
price_paid,yes,number,tav.purchase_outcomes.price_paid,"Authoritative buy cost before expense breakdown unless source says otherwise."
sale_price,yes,number,tav.purchase_outcomes.sale_price,"Final sale price."
gross_profit,no,number,tav.purchase_outcomes.gross_profit,"Use source gross if available. Otherwise can be derived in staging."
net_gross,no,number,future maxbuy/economics field,"Use if source already has net gross after expenses."
mileage_at_purchase,strongly recommended,integer,tav.purchase_outcomes.mileage,"Preferred mileage field for MaxBuy segmentation."
odometer_at_purchase,no,integer,tav.purchase_outcomes.odometer_at_purchase,"Use when source names the field odometer."
mmr_value_at_purchase,strongly recommended,number,tav.purchase_outcomes.mmr_value_at_purchase or derived safe field,"Only if vendor terms allow safe persistence. Do not commit individual values in docs."
mmr_snapshot_id,no,uuid,tav.valuation_snapshots.id or future reference,"Preferred when a safe immutable lookup reference exists."
mmr_source,no,text,MMR audit metadata,"Examples: cache, manheim, cox, external_export."
mmr_method,no,text,MMR audit metadata,"Use vin, year_make_model, or other source method."
mmr_lookup_date,no,YYYY-MM-DD,MMR audit metadata,"Date the MMR value/snapshot was produced."
region,no,text,tav.purchase_outcomes.region,"Use existing region taxonomy when possible."
source,no,text,tav.purchase_outcomes.source,"Acquisition/listing source if known."
purchase_channel,no,auction|private|dealer,tav.purchase_outcomes.purchase_channel,"Must map to current DB enum."
selling_channel,no,retail|wholesale|auction,tav.purchase_outcomes.selling_channel,"Must map to current DB enum."
condition_grade_raw,no,text,tav.purchase_outcomes.condition_grade_raw,"Raw source condition value."
condition_grade_normalized,no,excellent|good|fair|poor|unknown,tav.purchase_outcomes.condition_grade_normalized,"Must map to current DB enum."
buyer_id,no,text,tav.purchase_outcomes.buyer_id,"Use internal user id/text already used by reports."
closer_id,no,text,tav.purchase_outcomes.closer_id,"Use internal closer id/text already used by reports."
lead_id,no,uuid,tav.purchase_outcomes.lead_id,"Only fill on deterministic match."
vehicle_candidate_id,no,uuid,tav.purchase_outcomes.vehicle_candidate_id,"Only fill on deterministic match."
transport_cost,no,number,tav.purchase_outcomes.transport_cost,"Expense component."
auction_fee,no,number,tav.purchase_outcomes.auction_fee,"Expense component."
recon_cost,no,number,staging/future expense field,"Expense component if source has it."
misc_overhead,no,number,tav.purchase_outcomes.misc_overhead,"Expense component."
expense_total,no,number,staging/future expense field,"Total expenses if source has it."
title_brand_flag,no,true|false,hard gate evidence,"True if branded/rebuilt/lemon/manufacturer buyback."
salvage_flag,no,true|false,hard gate evidence,"True if salvage evidence exists."
flood_flag,no,true|false,hard gate evidence,"True if flood evidence exists."
frame_structural_flag,no,true|false,hard gate evidence,"True if frame/structural evidence exists."
odometer_issue_flag,no,true|false,hard gate evidence,"True if rollback/discrepancy/not-actual evidence exists."
recall_stop_sale_flag,no,true|false,hard gate evidence,"True if open recall/stop-sale evidence exists."
arbitration_flag,no,true|false,hard gate evidence,"True if arbitration/adverse announcement flag exists."
source_restricted_flag,no,true|false,hard gate evidence,"True if vehicle/source is restricted by policy."
announcement_flags_json,no,json text,staging/future announcement_flags,"Compact JSON object only. No raw vendor payloads."
match_confidence,no,high|medium|low,staging QA,"Human/import match confidence. Low matches should not update linkage directly."
match_method,no,text,staging QA,"Examples: outcome_id, import_fingerprint, vin_date_price, stock_date, manual_review."
exclude_reason_code,no,text,staging QA,"Required when row is excluded from backfill."
notes,no,text,staging notes,"Short import note. Do not include secrets, raw payloads, or sensitive comments."
